Air_Carrier,Event_Date,Country,Location,Airport_Name,Latitude,Longitude,Weather_Condition,Total_Fatal_Injuries,Total_Serious_Injuries,Total_Minor_Injuries,Total_Uninjured,City,State,Countries,Country_Fatal,Country_Uninjured,US_States,States_Fatal,States_Uninjured
WiStratus Aviation,11/5/2016,United States,"Davis, CA",YOLO COUNTY,383428N,1215129W,VMC,0,0,0,2,Davis, CA,,,,,,
WISCONSIN AVIATION,11/5/2016,United States,"Watertown, WI",WATERTOWN MUNI,431014N,0884315W,VMC,0,0,0,1,Watertown, WI,,,,,,
Cirrus Aviation Inc.,11/8/2016,United States,"Sarasota, FL",SARASOTA/BRADENTON INTL,272327N,0823325W,VMC,0,0,0,1,Sarasota, FL,,,,,,
MCCALL AVIATION INC,11/8/2016,United States,"Salmon, ID",SOLDIER BAR USFS,045617N,1144755W,VMC,0,0,0,1,Salmon, ID,,,,,,
Juguetes LLC,11/9/2016,United States,"Crescent City, FL",SKINNERS WHOLESALE NURSERY,292429N,0813052W,VMC,2,0,0,0,Crescent City, FL,,,,,,
Concord Aviation Services,11/10/2016,United States,"Concord, NH",CONCORD MUNI,431210N,0071308W,VMC,0,0,0,1,Concord, NH,,,,,,
SPANAFLIGHT LLC,11/11/2016,United States,"Payallup, WA",PIERCE COUNTY - THUN FIELD,047614N,1221714W,VMC,0,0,0,2,Payallup, WA,,,,,,
NAPA VALLEY BALLOONS INC.,11/14/2016,United States,"Winters, CA",YOLO COUNTY,383552N,1215328W,VMC,0,0,1,14,Winters, CA,,,,,,
UNITED STATES AIR FORCE,11/17/2016,United States,"Destin, FL",DESTIN EXECUTIVE,030247N,0862824W,VMC,0,0,0,2,Destin, FL,,,,,,
AMERICAN MEDFLIGHT INC,11/19/2016,United States,"Elko, NV",ELKO RGNL,040502N,1154659W,VMC,4,0,0,0,Elko, NV,,,,,,
AERIAL SKYVENTURES FLIGHT SCHOOL,11/19/2016,United States,"Woodbine, NJ",WOODBINE MUNI,391313N,0744737W,VMC,0,0,0,1,Woodbine, NJ,,,,,,
CONSOLIDATED AVIATION SERVICES LLC,11/20/2016,United States,"Dayton, TN",MARK ANTON,352910N,0845552W,VMC,0,0,0,1,Dayton, TN,,,,,,
BIDZY TA HOT AANA CORP,11/21/2016,United States,"McGrath, AK",MC GRATH,625710N,1553620W,VMC,0,0,1,3,McGrath, AK,,,,,,
AIRCRAFT LEASING & MANAGEMENT LLC,11/22/2016,United States,"San Diego, CA",MONTGOMERY-GIBBS EXECUTIVE,324847N,0117815W,VMC,0,0,0,5,San Diego, CA,,,,,,
N169WT LLC.,11/22/2016,United States,"Redding, CA",BENTON FIELD,403411N,1222424W,VMC,0,0,0,1,Redding, CA,,,,,,
Global Life Ambulancias S.A.S,11/23/2016,Colombia,"Villavicencio, Colombia",Vanguardia Airport,004943N,0073377W,VMC,1,0,1,3,Villavicencio, Colombia,,,,,,
"Flight Development, LLC",11/23/2016,United States,"Moorhead, MN",Moorhead Municipal Airport,465021N,0963951W,IMC,0,3,0,4,Moorhead, MN,,,,,,
Gateway Flight Training LLC.,11/27/2016,United States,"St. Louis, MO",CREVE COEUR,384319N,0903032W,VMC,0,0,0,1,St. Louis, MO,,,,,,
BILL MASSA CO INC,11/29/2016,United States,"Salinas, CA",SALINAS MUNI,363946N,1213623W,VMC,0,0,0,1,Salinas, CA,,,,,,
AIR WEST INC,12/1/2016,United States,"Scottsdale, AZ",SCOTTSDALE,333649N,1115517W,VMC,0,0,0,1,Scottsdale, AZ,,,,,,
SKYWEST AIRLINES INC,12/4/2016,United States,"San Antonio, TX",SAN ANTONIO INTL,293153N,0098286W,VMC,0,1,0,54,San Antonio, TX,,,,,,
CITY OF SACRAMENTO,12/4/2016,United States,"Sacramento, CA",MC CLELLAN AIRFIELD,038404N,0121242W,VMC,0,0,0,2,Sacramento, CA,,,,,,
D C AVIATION LLC,12/5/2016,United States,"Port Aransas, TX",CORPUS CHRISTI INTL,274843N,0097520W,VMC,0,0,0,1,Port Aransas, TX,,,,,,
U S AVIATION GROUP LLC,12/7/2016,United States,"Denton, TX",DENTON ENTERPRISE,033128N,0971153W,VMC,0,0,0,2,Denton, TX,,,,,,
CARDINAL 19PC LLC.,12/11/2016,United States,"Jacksonville, FL",JACKSONVILLE EXECUTIVE AT CRAI,302010N,0813046W,VMC,0,0,0,3,Jacksonville, FL,,,,,,
Aerowest Aviation,12/12/2016,United States,"Moab, UT",Canyonlands Field Airport,384511N,1094510W,VMC,1,0,0,0,Moab, UT,,,,,,
SKYWEST AIRLINES INC,12/15/2016,United States,"San Francisco, CA",SAN FRANCISCO INTL,037378N,1222238W,VMC,0,0,0,0,San Francisco, CA,,,,,,
EVA Air,12/16/2016,United States,"Mt. Wilson, CA",Los Angeles International Airp,034139N,0118343W,IMC,0,0,0,0,Mt. Wilson, CA,,,,,,
PC AIR VENTURES LTD,12/23/2016,United States,"Middlebury, VT",MIDDLEBURY STATE,435853N,0073540W,VMC,1,0,0,0,Middlebury, VT,,,,,,
CAMBUSMOON INC,12/29/2016,United States,"Nashville, TN",JOHN C TUNE,361059N,0865311W,VMC,0,0,0,3,Nashville, TN,,,,,,
CRYSTAL AERO GROUP INC,12/30/2016,United States,"Dunnellon, FL",MARION COUNTY,029354N,0822216W,VMC,0,0,0,2,Dunnellon, FL,,,,,,
PARAGON FLIGHT TRAINING CO,1/12/2017,United States,"Punta Gorda, FL",Punta Gorda Airport,026558N,0815927W,VMC,0,0,0,1,Punta Gorda, FL,,,,,,
Optimal Aviation Services,1/14/2017,United States,"Coalinga, CA",AGRO-WEST,362010N,1201451W,VMC,0,0,0,1,Coalinga, CA,,,,,,
INCEPTUS INC.,1/14/2017,United States,"Coeur D'Alene, ID",COEUR D'ALENE - PAPPY BOYINGTO,474629N,1164931W,VMC,0,0,0,3,Coeur D'Alene, ID,,,,,,
AG Flight Pilot Training,1/16/2017,United States,"Bainbridge, GA",DECATUR COUNTY INDUSTRIAL AIR,305818N,0843813W,VMC,0,0,0,1,Bainbridge, GA,,,,,,
Mike Lima Corporation,1/17/2017,United States,"Pierson, FL",PIERSON MUNI,029150N,0812734W,VMC,0,0,2,0,Pierson, FL,,,,,,
SUMMERSKYZ INC,1/18/2017,United States,"Champaign, IL",UNIVERSITY OF ILLINOIS-WILLARD,004023N,0881623W,VMC,0,1,0,1,Champaign, IL,,,,,,
Pilot,1/18/2017,United States,"Delta, CO",Blake Field Airport,384711N,0108349W,VMC,0,0,0,1,Delta, CO,,,,,,
Alpine Aviation Inc,1/19/2017,United States,"Billings, MT",BILLINGS LOGAN INTL,454828N,1083234W,VMC,0,0,0,1,Billings, MT,,,,,,
BOEDEKER FLYING SERVICE INC (Pending),1/21/2017,United States,"Wellington, TX",Marian Airpark,034511N,1001237W,VMC,2,0,0,0,Wellington, TX,,,,,,
KAAZ LLC,1/23/2017,United States,"Tucson, AZ",TUCSON INTL,032658N,1105628W,VMC,2,0,0,0,Tucson, AZ,,,,,,
Endeavor Air,1/23/2017,United States,"Baltimore, MD",Baltimore/Washington Intl Thur,391039N,0076408W,Unk,0,0,0,51,Baltimore, MD,,,,,,
Alpine Air Inc,1/24/2017,United States,"Durango, CO",DURANGO-LA PLATA COUNTY,003791N,0107450W,IMC,0,0,0,2,Durango, CO,,,,,,
Bell Helicopter Textron Inc.,1/24/2017,United States,"Fort Worth, TX",Bell Training Facility,033257N,0971737W,VMC,0,0,0,2,Fort Worth, TX,,,,,,
CLEARWATER HELICOPTERS INC,1/26/2017,United States,"Clearwater, FL",Clearwater Airpark,275838N,0824533W,VMC,0,0,0,2,Clearwater, FL,,,,,,
Eastern Air Express,1/27/2017,United States,"West Palm Beach, FL",Palm Beach Int.,264059N,0080544W,VMC,0,0,0,2,West Palm Beach, FL,,,,,,
MRIS LLC,1/27/2017,United States,"Sioux Falls, SD",JOE FOSS FIELD,433442N,0964453W,VMC,0,0,0,3,Sioux Falls, SD,,,,,,
California Aeronautical University,2/1/2017,United States,"Bakersfield, CA",MEADOWS FIELD,352553N,0119318W,VMC,0,1,0,0,Bakersfield, CA,,,,,,
MIDDLE RIVER AVIATION LLC,2/4/2017,United States,"Fallston, MD",FALLSTON,393028N,0762424W,VMC,0,0,0,2,Fallston, MD,,,,,,
Cloud 9 Helicopters,2/6/2017,United States,"West Palm Beach, FL",North Palm Beach,265045N,0801320W,VMC,0,0,0,2,West Palm Beach, FL,,,,,,
SOUTHWEST AIRLINES CO,2/12/2017,United States,"Phoenix, AZ",Phoenix Sky Harbor,033263N,0112042W,VMC,0,0,0,143,Phoenix, AZ,,,,,,
Commutair,2/13/2017,United States,"Dulles, VA",Washington Dulles Internationa,385711N,0772723W,VMC,0,0,1,52,Dulles, VA,,,,,,
4 DAY FLIERS LLC.,2/14/2017,United States,"Beckwourth, CA",NERVINO,039497N,1202110W,VMC,0,0,1,0,Beckwourth, CA,,,,,,
PSA Airlines,2/15/2017,United States,"Charlotte, NC",Charlotte/Douglas Intl,351250N,0080577W,VMC,0,0,0,48,Charlotte, NC,,,,,,
MISSIONARY AIR GROUP INC.,2/16/2017,United States,"Burlington, NC",BURLINGTON-ALAMANCE RGNL,036259N,0792823W,VMC,0,0,0,1,Burlington, NC,,,,,,
Compass Airlines,2/16/2017,United States,"San Francisco, CA",San Francisco Intl,373642N,1222132W,VMC,0,0,0,0,San Francisco, CA,,,,,,
Centennial Flyers,2/18/2017,United States,"Centennial, CO",Centennial,393412N,1045058W,VMC,0,1,1,0,Centennial, CO,,,,,,
INTERNATIONAL AVIATION LLC,2/22/2017,United States,"East Haven, CT",Tweed-New Haven Airport,411513N,0072538W,VMC,1,0,1,0,East Haven, CT,,,,,,
Ideal Aviation,2/23/2017,United States,"Cahokia, IL",St Louis Downtown Airport,383413N,0090918W,Unk,0,0,0,0,Cahokia, IL,,,,,,
SIGNICAST LLC,2/25/2017,United States,"Waukesha, WI",Waukesha County Airport,043228N,0881413W,IMC,0,0,0,1,Waukesha, WI,,,,,,
Maverick Helicopters Inc.,2/26/2017,United States,"Las Vegas, NV",MC CARRAN INTL,036448N,0011598W,VMC,0,0,0,3,Las Vegas, NV,,,,,,
4197802 Manitoba Ltd.,2/27/2017,United States,"Bellingham, WA",BELLINGHAM INTL,484731N,0122325W,IMC,0,0,0,1,Bellingham, WA,,,,,,
AIRBOURN AVIATION LLC.,2/28/2017,United States,"Prentiss, MS",PRENTISS-JEFFERSON DAVIS COUNT,313543N,0895423W,VMC,0,0,0,1,Prentiss, MS,,,,,,
SOUTHERN AIRCRAFT CONSULTANCY INC TRUSTE,3/2/2017,United States,"Ft Lauderdale, FL",FORT LAUDERDALE EXECUTIVE,261150N,0801015W,VMC,0,0,0,1,Ft Lauderdale, FL,,,,,,
SPARTAN EDUCATION LLC.,3/2/2017,United States,"Tulsa, OK",RICHARD LLOYD JONES JR,036226N,0095598W,VMC,0,0,0,1,Tulsa, OK,,,,,,
"Toadsuck Sport Aviation, LLC",3/4/2017,United States,"Conway, AR",Cantrell Field Airport,035112N,0923318W,VMC,0,0,1,1,Conway, AR,,,,,,
Delta Air Lines,3/6/2017,United States,"Los Angeles, CA",Los Angeles International,335633N,1182429W,VMC,0,0,1,120,Los Angeles, CA,,,,,,
"Ameristar Air Cargo, Inc.",3/8/2017,United States,"Ypsilanti, MI",Willow Run International Airpo,421438N,0833233W,VMC,0,1,0,115,Ypsilanti, MI,,,,,,
"CAE USA, Inc.",3/8/2017,United States,"Abbeville, AL",Abbeville Municipal Airport,313539N,0851416W,VMC,0,0,2,0,Abbeville, AL,,,,,,
SCHUMAN AVIATION CO. LTD,3/11/2017,United States,"Kalaupapa, HI",KALAUPAPA,211240N,1565825W,VMC,0,2,0,7,Kalaupapa, HI,,,,,,
TWIN OAKS AIRPARK INC,3/12/2017,United States,"Hillsboro, OR",STARK'S TWIN OAKS AIRPARK,452542N,1225632W,VMC,0,0,0,2,Hillsboro, OR,,,,,,
BIRD ACQUISITION LLC,3/12/2017,United States,"Gila Bend, AZ",GILA BEND MUNI,325737N,1124025W,VMC,0,0,0,3,Gila Bend, AZ,,,,,,
Cargair Ltee,3/17/2017,Canada,"St-Bruno, Quebec, Canada",Montreal/St-Hubert,453020N,0732241E,VMC,1,0,1,0,St-Bruno," Quebec, Canada",,,,,,
Allegiant Air,3/19/2017,United States,"Dayton, OH",JAMES M COX DAYTON INTL,039549N,0841319W,Unk,0,0,0,163,Dayton, OH,,,,,,
AERONCA CHAMP CLUB INC,3/19/2017,United States,"Columbia, IL",SACKMAN FIELD,038278N,0901410W,VMC,0,0,0,2,Columbia, IL,,,,,,
Pacific Airways,3/22/2017,United States,"Ketchikan, AK",KETCHIKAN HARBOR,552040N,1313948W,VMC,0,0,0,3,Ketchikan, AK,,,,,,
DRC AIR LLC,3/22/2017,United States,"Atlanta, GA",DEKALB-PEACHTREE,335232N,0084187W,VMC,0,0,0,1,Atlanta, GA,,,,,,
"S&C Aviation of NC, LLC",3/23/2017,United States,"Timberlake, NC",PERSON COUNTY,361711N,0785855W,VMC,0,0,0,1,Timberlake, NC,,,,,,
MIDDLE RIVER AVIATION LLC,3/24/2017,United States,"Baltimore, MD",Martin State Airport,391932N,0762450W,VMC,0,0,0,1,Baltimore, MD,,,,,,
Pilot (Co-owner),3/25/2017,United States,"Stonewall, TX",Burg Lake Aero Airport,030139N,0983748W,VMC,1,0,0,0,Stonewall, TX,,,,,,
"St. Pete Aviation Services, LLC",3/28/2017,United States,"St. Petersburg, FL",ALBERT WHITTED,274554N,0823745W,VMC,0,0,0,2,St. Petersburg, FL,,,,,,
SCOTT ATWELL INSURANCE SERVICES INC,3/29/2017,United States,"Mooresville, NC",ATWELL,353939N,0804722W,VMC,0,0,0,2,Mooresville, NC,,,,,,
TRUSTEES OF PURDUE UNIVERSITY,3/30/2017,United States,"Fort Wayne, IN",FORT WAYNE INTL,405842N,0851143W,VMC,0,1,1,0,Fort Wayne, IN,,,,,,
Louise Bighouse,4/3/2017,United States,"Twisp, WA",TWISP MUNI,482058N,0120528W,VMC,0,0,0,2,Twisp, WA,,,,,,
"Havasu Heli Flights, LLC",4/6/2017,United States,"La Verne, CA",BRACKETT FIELD,034530N,1174654W,VMC,0,0,0,2,La Verne, CA,,,,,,
ADAPTIVE RESOURCES INC,4/6/2017,United States,"Granby, CO",GRANBY-GRAND COUNTY,040524N,0105550W,VMC,0,0,0,2,Granby, CO,,,,,,
Coast Flight Training.,4/6/2017,United States,"San Marcos, TX",SAN MARCOS REGIONAL,295320N,0097520W,VMC,0,0,0,1,San Marcos, TX,,,,,,
AEROMACK LLC,4/7/2017,United States,"Atlanta, GA",FULTON COUNTY AIRPORT-BROWN FI,334636N,0843130W,VMC,0,0,0,1,Atlanta, GA,,,,,,
Lakeland Aviation,4/7/2017,United States,"Woodruff, WI",LAKELAND/NOBLE F LEE MEMORIAL,455541N,0894351W,VMC,0,0,0,2,Woodruff, WI,,,,,,
Pilot,4/7/2017,United States,"Greensburg, IN",Greensburg Municipal Airport,404647N,0823150W,VMC,0,1,0,2,Greensburg, IN,,,,,,
SKYLINE AVIATION LLC,4/10/2017,United States,"LEWISTOWN, MT",LEWISTOWN MUNI,004721N,1092748W,VMC,0,0,0,1,LEWISTOWN, MT,,,,,,
Harvey & Rihn Aviation,4/12/2017,United States,"La Porte, TX",La Porte Municipal Airport,294011N,0009545W,VMC,0,0,0,1,La Porte, TX,,,,,,
CLAIBORNE AVIATION LLC,4/12/2017,United States,"Llano, TX",LLANO MUNI,030473N,0983936W,IMC,0,0,0,1,Llano, TX,,,,,,
IHC HEALTH SERVICES INC,4/15/2017,United States,"Richfield, UT",RICHFIELD MUNI,384439N,0112549W,VMC,0,0,0,1,Richfield, UT,,,,,,
Symbios Orthopédie SA,4/17/2017,Portugal,"Cascais, Portugal",Cascais Municipal Aerodrome,384253N,0092046W,VMC,4,0,0,0,Cascais, Portugal,,,,,,
SPARTAN EDUCATION LLC,4/19/2017,United States,"Tulsa, OK",RICHARD LLOYD JONES JR,036228N,0095596W,VMC,0,0,0,2,Tulsa, OK,,,,,,
CTC AVIATION LEASING (US) INC,4/20/2017,United States,"Goodyear, AZ",PHOENIX GOODYEAR,332421N,1122431W,VMC,0,0,0,1,Goodyear, AZ,,,,,,
FREIGHT RUNNERS EXPRESS INC,4/24/2017,United States,"Waukesha, WI",WAUKESHA COUNTY,043228N,0881413W,VMC,0,0,0,2,Waukesha, WI,,,,,,
AERO CLUB ALBATROSS,4/28/2017,United States,"Blairstown, NJ",BLAIRSTOWN,405831N,0745923W,VMC,0,0,0,1,Blairstown, NJ,,,,,,
Santa Monica Flyers,4/28/2017,United States,"Jean, NV",JEAN,035462N,1151951W,VMC,0,0,0,3,Jean, NV,,,,,,
Gray Ag Air,4/28/2017,United States,"Hollis, OK",Hollis Municipal,034421N,0995431W,VMC,1,0,0,0,Hollis, OK,,,,,,
RICO AVIATION LLC,4/29/2017,United States,"Amarillo, TX",RICK HUSBAND AMARILLO INTL,351147N,1014217W,IMC,3,0,0,0,Amarillo, TX,,,,,,
"Nassau Flyers, Inc.",5/1/2017,United States,"Lakewood, NJ",LAKEWOOD,040356N,0741045W,VMC,0,0,0,2,Lakewood, NJ,,,,,,
"PHI, Inc.",5/2/2017,United States,"Venice, LA",Grand Bay Receiving Station,291836N,0891753W,VMC,0,0,0,6,Venice, LA,,,,,,
SMOOTH BLUE INC.,5/2/2017,United States,"Olathe, KS",JOHNSON COUNTY EXECUTIVE,385047N,0944415W,VMC,0,1,0,2,Olathe, KS,,,,,,
"LANI LEA SKY TOURS, LLC",5/3/2017,United States,"Kaunakakai, HI",MOLOKAI,021910N,0157547W,VMC,0,0,0,1,Kaunakakai, HI,,,,,,
GRWW AVIATION LLC.,5/3/2017,United States,"Portage County Airport, OH",PORTAGE COUNTY,411237N,0811455W,VMC,0,0,0,1,Portage County Airport, OH,,,,,,
Plains Aerial Applications,5/4/2017,United States,"Tahoka, TX",T-Bar Airport,331052N,1014910W,VMC,0,1,0,0,Tahoka, TX,,,,,,
Air Cargo Carriers,5/5/2017,United States,"Charleston, WV",Yeager Airport,382233N,0813535W,IMC,2,0,0,0,Charleston, WV,,,,,,
SERENDIPITY FLYING CLUB,5/5/2017,United States,"Taos, NM",TAOS RGNL,362659N,1054034W,VMC,0,0,0,1,Taos, NM,,,,,,
Streeter Racing,5/7/2017,United States,"Madera, CA",MADERA MUNI,365911N,0120645W,VMC,0,0,0,1,Madera, CA,,,,,,
WILSON FLYING SERVICE INC.,5/8/2017,United States,"Walnut Ridge, AR",Private,036845N,0905010W,VMC,0,0,0,1,Walnut Ridge, AR,,,,,,
PREMIER METALS RECOVERY LLC,5/9/2017,United States,"Myrtle Beach, SC",MYRTLE BEACH INTL,333832N,0078557W,VMC,0,0,0,1,Myrtle Beach, SC,,,,,,
AMERICAN AVIATION INC.,5/12/2017,United States,"Monument Valley, UT",MONUMENT VALLEY,037044N,0110124W,VMC,0,0,0,2,Monument Valley, UT,,,,,,
Pilot,5/13/2017,United States,"Blair, NE",Blair Municipal Airport,412453N,0096632W,VMC,1,0,0,0,Blair, NE,,,,,,
AUTO MILESTONES LLC,5/18/2017,United States,"Tunkhannock, PA",SKYHAVEN,413139N,0755645W,VMC,0,0,0,1,Tunkhannock, PA,,,,,,
HELIFLIGHTS LLC,5/20/2017,United States,"Linden, NJ",Linden Airport,040373N,0741440W,VMC,0,0,0,2,Linden, NJ,,,,,,
DULLES AVIATION INC,5/21/2017,United States,"Bristow, VA",MANASSAS RGNL/HARRY P DAVIS FI,384317N,0773217W,VMC,0,0,0,2,Bristow, VA,,,,,,
Delta Air Lines,5/21/2017,United States,"Raleigh, NC",Raleigh-Durham International,355239N,0784754W,VMC,0,0,0,186,Raleigh, NC,,,,,,
Hummingbird Ventures LLC.,5/22/2017,United States,"Eden Prairie, MN",FLYING CLOUD,444939N,0932731W,VMC,0,2,0,0,Eden Prairie, MN,,,,,,
GERLACH AND ASSOCIATES LLC,5/24/2017,United States,"Augusta, GA",AUGUSTA RGNL AT BUSH FIELD,332252N,0815814W,IMC,0,0,0,1,Augusta, GA,,,,,,
KALININ PARTNERS LLC.,5/24/2017,United States,"Elfin Cove, AK",ELFIN COVE,581143N,1362054W,VMC,0,0,0,8,Elfin Cove, AK,,,,,,
"Metro Aviation, Inc.",5/25/2017,United States,"New Castle, DE",NEW CASTLE,393933N,0075364W,IMC,1,0,0,0,New Castle, DE,,,,,,
TALKEETNA AIR TAXI INC,5/28/2017,United States,"Petersville, AK",Great Gorge of Ruth Glacier,625610N,0150414W,VMC,0,0,0,7,Petersville, AK,,,,,,
NEW BOCA LEASING LLC,5/28/2017,United States,"Boca Raton, FL",BOCA RATON,262256N,0080613W,VMC,0,0,0,2,Boca Raton, FL,,,,,,
Scandinavian Aviation Academy Inc.,5/30/2017,United States,"El Cajon, CA",GILLESPIE FIELD,324934N,1165821W,VMC,0,0,0,1,El Cajon, CA,,,,,,
Bluetail Flight School,5/30/2017,Belgium,"Charleroi, Belgium",Brussels South Charleroi,502736N,0042710E,VMC,0,0,0,2,Charleroi, Belgium,,,,,,
CONNECTICUT PARACHUTISTS INC,6/1/2017,United States,"Ellington, CT",ELLINGTON,415532N,0722726W,VMC,0,0,0,4,Ellington, CT,,,,,,
US AERO LLC.,6/2/2017,United States,"Chapman, KS",PRAIRIE COTTAGE,038556N,0097036W,VMC,0,1,0,0,Chapman, KS,,,,,,
RHYS VINEYARDS LLC.,6/3/2017,United States,"San Carlos, CA",SAN CARLOS,373043N,1221458W,VMC,0,0,0,3,San Carlos, CA,,,,,,
AIR AMERICA INC,6/3/2017,United States,"San Juan, PR",LUIS MUNOZ MARIN INTL,182737N,0655822W,VMC,1,1,2,0,San Juan, PR,,,,,,
MELENDEZ ROBERT,6/3/2017,United States,"Rexberg, ID",REXBURG-MADISON COUNTY,435025N,1114815W,VMC,0,1,0,0,Rexberg, ID,,,,,,
SOUTHWEST AIRLINES CO,6/3/2017,United States,"Washington, DC",WASHINGTON DULLES INTL,385655N,0077271W,Unk,0,0,0,67,Washington, DC,,,,,,
CLASSIC AIR AVIATION LLC,6/4/2017,United States,"Payson, AZ",PAYSON,034161N,0111221W,VMC,0,2,0,0,Payson, AZ,,,,,,
AIR-TRAC INC,6/5/2017,United States,"Prosser, WA",Sun Heaven Airstrip,046649N,1193053W,VMC,0,0,0,1,Prosser, WA,,,,,,
MACYS FLYING SERVICE INC,6/5/2017,United States,"Tulelake, CA",TULELAKE MUNI,415326N,1212138W,VMC,0,0,0,1,Tulelake, CA,,,,,,
Upper Limit Aviation,6/6/2017,United States,"Tooele, UT",BOLINDER FIELD-TOOELE VALLEY,403624N,0112213W,VMC,0,0,0,1,Tooele, UT,,,,,,
Pilot,6/9/2017,United States,"Dalhart, TX",Dalhart Municipal Airport,036336N,1023036W,VMC,0,1,0,1,Dalhart, TX,,,,,,
Aircraft Development Flight Airways,6/10/2017,United States,"Tamiami, FL",MIAMI EXECUTIVE,253851N,0080260W,VMC,0,0,0,2,Tamiami, FL,,,,,,
SKYWEST AIRLINES INC,6/10/2017,United States,"Chicago, IL",Chicago O'Hare Intl,415925N,0875417W,Unk,0,0,0,64,Chicago, IL,,,,,,
Connecticut Flight Club,6/10/2017,United States,"Hartford, CT",HARTFORD-BRAINARD,414420N,0723853W,VMC,0,0,0,1,Hartford, CT,,,,,,
Hetrick Air Services,6/10/2017,United States,"Lawrence, KS",LAWRENCE MUNI,039040N,0951259W,VMC,0,0,0,2,Lawrence, KS,,,,,,
HOOD RIVER SOARING,6/11/2017,United States,"Hood River, OR",KEN JERNSTEDT AIRFIELD,453954N,1213116W,VMC,0,1,0,0,Hood River, OR,,,,,,
KENT STATE UNIVERSITY,6/12/2017,United States,"Stow, OH",KENT STATE UNIV,004190N,0812455W,VMC,0,0,0,1,Stow, OH,,,,,,
LEGACY FLIGHT MUSEUM,6/12/2017,United States,"Rexberg, ID",REXBURG-MADISON COUNTY,043502N,1114818W,VMC,0,0,0,1,Rexberg, ID,,,,,,
Ponderosa Aero Club,6/14/2017,United States,"Galena, ID",SMILEY CREEK,435444N,1144746W,VMC,0,0,0,2,Galena, ID,,,,,,
Pilot,6/14/2017,United States,"Ruidoso, NM",Sierra Blanca Regional Airport,332711N,1053235W,VMC,2,0,0,0,Ruidoso, NM,,,,,,
INDUSTRIAL AVIATION SERVICES INC,6/14/2017,United States,"Salem, OR",HARCHENKO INDUSTRIAL,045446N,1225538W,VMC,0,0,0,1,Salem, OR,,,,,,
AIRSIGN LTD,6/15/2017,United States,"Hartford, WI",Erin Aero Airport,431436N,0088227W,VMC,0,0,1,0,Hartford, WI,,,,,,
LANE COMMUNITY COLLEGE,6/20/2017,United States,"Eugene, OR",MAHLON SWEET FIELD,044718N,1231257W,VMC,0,0,0,1,Eugene, OR,,,,,,
California Flight Academy,6/20/2017,United States,"El Cajon, CA",GILLESPIE FIELD,324934N,1165821W,VMC,0,0,0,2,El Cajon, CA,,,,,,
"Delta Air Lines, Inc.",6/23/2017,United States,"Atlanta, GA",Hartsfield - Jackson Atlanta I,333858N,0842455W,VMC,0,0,0,199,Atlanta, GA,,,,,,
San Jose Skydiving Center,6/25/2017,United States,"San Martin, CA",SAN MARTIN,037514N,1213557W,VMC,0,1,0,0,San Martin, CA,,,,,,
WATERS AERO MARINE INC,6/26/2017,United States,"Vinalhaven, ME",VINALHAVEN,044414N,0684918W,VMC,0,1,0,0,Vinalhaven, ME,,,,,,
THOMAS P. ROSS,6/26/2017,United States,"WATERTOWN, SD",WATERTOWN RGNL,445450N,0009798W,VMC,0,0,0,2,WATERTOWN, SD,,,,,,
EPIX SERVICES LLC,6/28/2017,United States,"Emporia, VA",EMPORIA-GREENSVILLE RGNL,364113N,0772858W,VMC,0,0,0,1,Emporia, VA,,,,,,
SASQUATCH AIR LLC.,6/28/2017,United States,"Alamogordo, NM",ALAMOGORDO-WHITE SANDS RGNL,325022N,1055928W,VMC,0,0,0,2,Alamogordo, NM,,,,,,
"Dean International, Inc.",6/29/2017,United States,"Miami, FL",Miami Executive Airport,253910N,0802610W,VMC,0,0,0,1,Miami, FL,,,,,,
Wilbur Ellis Co,6/29/2017,United States,"Stirum, ND",Lisbon Airport,461311N,0974949W,IMC,1,0,0,0,Stirum, ND,,,,,,
TRIDELAW AVIATION LLC,6/30/2017,United States,"Eagle, CO",Eagle County Regional,393846N,1065335W,VMC,0,0,0,1,Eagle, CO,,,,,,
"Mooney of Monticello, Inc.",7/1/2017,United States,"Monticello, IA",Monticello Regional Airport,421311N,0091930W,VMC,1,0,0,0,Monticello, IA,,,,,,
American Airlines,7/1/2017,United States,"Chicago, IL",Chicago O'Hare International A,415838N,0875354W,VMC,0,0,0,189,Chicago, IL,,,,,,
Micronecian Aviation System,7/2/2017,United States,"Tamuning,",GUAM INTL,013292N,1444750E,VMC,0,0,0,2,Tamuning,,,,,,,
SKYWEST AIRLINES INC,7/2/2017,United States,"Denver, CO",DEN,039451N,0010503W,VMC,0,0,0,59,Denver, CO,,,,,,
MARTINAIRE AVIATION LLC,7/3/2017,United States,"Alpine, TX",ALPINE-CASPARIS MUNI,302335N,1034013W,VMC,0,1,0,0,Alpine, TX,,,,,,
TUBREAUX AVIATION SERVICES LLC.,7/3/2017,United States,"Shreveport, LA",SHREVEPORT DOWNTOWN,323225N,0934442W,VMC,0,0,0,1,Shreveport, LA,,,,,,
Horizon Aviation,7/4/2017,United States,"San Juan, PR",FERNANDO LUIS RIBAS DOMINICCI,182730N,0066522W,VMC,0,0,0,4,San Juan, PR,,,,,,
Brampton Flight Centre,7/5/2017,United States,"Jackson, MI",Jackson County Airport-Reynold,421538N,0842738W,VMC,0,0,0,2,Jackson, MI,,,,,,
